wave,flux,fluxerr
114.05450,2.04160e-13,6.48070e-15
114.11287,2.04230e-13,5.79540e-15
114.17122,1.93450e-13,5.27370e-15
114.22958,2.04820e-13,4.87170e-15
114.28794,2.11570e-13,4.56170e-15
114.34630,2.09960e-13,4.22900e-15
114.40465,2.02650e-13,3.79220e-15
114.46301,1.99460e-13,3.46660e-15
114.52137,2.06410e-13,3.31460e-15
114.57972,2.04110e-13,3.05330e-15
114.63809,2.06450e-13,2.88270e-15
114.69645,2.06550e-13,2.74160e-15
114.75480,2.10400e-13,2.63000e-15
114.81316,2.09980e-13,2.46810e-15
114.87151,2.06130e-13,2.33170e-15
114.92987,2.08790e-13,2.22290e-15
114.98823,2.09190e-13,2.17560e-15
115.04658,2.09090e-13,2.03790e-15
115.10494,2.11800e-13,2.02350e-15
115.16329,2.11610e-13,1.91390e-15
115.22166,2.08590e-13,1.86690e-15
115.28000,2.07160e-13,1.78350e-15
115.33837,2.10660e-13,1.78310e-15
115.39672,2.09510e-13,1.69560e-15
115.45508,2.13470e-13,1.68990e-15
115.51343,2.13300e-13,1.64370e-15
115.57179,2.09610e-13,1.59960e-15
115.63014,2.09730e-13,1.56590e-15
115.68849,2.08710e-13,1.54480e-15
115.74685,2.07880e-13,1.50590e-15
115.80520,2.07060e-13,1.48710e-15
115.86356,2.08990e-13,1.48110e-15
115.92191,2.09650e-13,1.43020e-15
115.98026,2.10370e-13,1.41570e-15
116.03862,2.12620e-13,1.41450e-15
116.09697,2.10010e-13,1.38770e-15
116.15532,2.08730e-13,1.37400e-15
116.21368,2.09970e-13,1.36730e-15
116.27203,2.06830e-13,1.31690e-15
116.33038,2.06280e-13,1.33220e-15
116.38873,2.08760e-13,1.28680e-15
116.44709,2.08250e-13,1.30570e-15
116.50544,2.06050e-13,1.26420e-15
116.56379,2.04050e-13,1.24590e-15
116.62214,2.07750e-13,1.26740e-15
116.68051,2.04400e-13,1.23640e-15
116.73885,2.05400e-13,1.21780e-15
116.79720,2.06230e-13,1.21800e-15
116.85555,2.05060e-13,1.20140e-15
116.91390,2.04820e-13,1.17900e-15
116.97225,2.03090e-13,1.17460e-15
117.03062,2.03790e-13,1.16690e-15
117.08896,2.03320e-13,1.14860e-15
117.14731,2.01390e-13,1.13410e-15
117.20566,2.02110e-13,1.12860e-15
117.26401,2.04270e-13,1.12650e-15
117.32236,2.04120e-13,1.10400e-15
117.38071,2.01900e-13,1.10080e-15
117.43906,2.01310e-13,1.08430e-15
117.49741,2.01540e-13,1.07080e-15
117.55576,1.99430e-13,1.05850e-15
117.61411,1.99350e-13,1.05580e-15
117.67246,1.97950e-13,1.05450e-15
117.73081,1.98450e-13,1.03940e-15
117.78916,1.99300e-13,1.03820e-15
117.84751,2.01940e-13,1.02970e-15
117.90586,1.98780e-13,1.02680e-15
117.96421,1.97060e-13,1.00590e-15
118.02256,1.95550e-13,9.98630e-16
118.08091,1.96460e-13,9.83520e-16
118.13926,1.98680e-13,1.00760e-15
118.19760,1.97620e-13,9.75050e-16
118.25594,1.97610e-13,9.85550e-16
118.31429,1.99320e-13,9.69710e-16
118.37264,1.95310e-13,9.52240e-16
118.43099,1.94680e-13,9.47940e-16
118.48934,1.92080e-13,9.46230e-16
118.54768,1.91500e-13,9.16120e-16
118.60603,1.91380e-13,9.36200e-16
118.66438,1.91880e-13,9.12730e-16
118.72273,1.88550e-13,9.16870e-16
118.78107,1.88800e-13,8.96650e-16
118.83942,1.88070e-13,8.98900e-16
118.89777,1.84120e-13,8.72450e-16
118.95612,1.82340e-13,8.72650e-16
119.01445,1.79230e-13,8.54690e-16
119.07280,1.79850e-13,8.69540e-16
119.13115,1.82140e-13,8.65000e-16
119.18949,1.82660e-13,8.80940e-16
